district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
มะขาม,0,0,0,2,1,6,0,4,0,0,0,15,13,0,0,0,0
มะนัง,135,61,489,51,61,224,228,521,318,50,56,708,586,2,0,27,1
มายอ,67,83,2916,53,101,123,41,931,130,25,14,1282,1982,0,0,0,28
มีนบุรี,18,3,2,3,0,5,0,5,4,4,1,24,8,0,0,0,0
มโนรมย์,160,118,41,117,23,273,72,837,292,66,11,1298,210,1,0,99,8
ม่วงสามสิบ,7,30,254,16,3,30,0,27,251,184,83,335,117,0,0,1227,0
ยะรัง,250,40,1726,82,94,115,136,564,312,9,128,2054,967,0,0,13,8
ยะหริ่ง,82,43,3357,38,19,214,53,1332,127,30,21,1526,3420,2,1,4,67
ยะหา,104,68,1415,88,33,294,15,1485,357,53,87,555,329,0,0,1,0
ยางชุมน้อย,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ยางตลาด,54,55,582,69,36,139,18,513,76,72,104,2078,573,0,0,42,1
ยางสีสุราช,12,20,85,7,11,64,390,66,74,11,3,879,716,0,0,0,2
ยานนาวา,12,0,3,0,0,3,9,2,5,2,1,25,16,0,0,0,0
ยี่งอ,5,8,14,8,1,10,2,9,9,3,8,77,28,0,0,2,0
ย่านตาขาว,49,137,653,110,19,504,52,843,295,66,194,3035,1544,0,0,70,156
ระแงะ,3,2,0,2,0,10,1,1,0,0,0,25,0,0,0,0,0
